Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer
51,2461,3,3,3,3,2,4,False,True,True,False
25,489,4,4,4,4,2,4,False,True,False,True
64,229,1,3,4,3,1,1,False,True,True,False
52,2214,5,5,5,5,4,4,False,True,True,False
52,748,2,3,2,3,5,3,True,False,True,False
30,462,5,5,5,5,2,2,True,False,True,False
53,1033,1,1,1,1,4,4,True,False,True,False
22,1050,1,1,1,2,4,1,False,True,False,True
39,1090,4,4,4,1,4,2,False,True,True,False
17,882,0,5,0,4,2,5,True,False,False,True
27,500,2,2,2,3,3,2,False,True,True,False
64,1199,2,2,2,1,5,2,False,True,True,False
46,983,3,3,3,3,3,3,False,True,True,False
25,1671,2,5,5,5,2,1,True,False,True,False
24,1092,3,3,3,1,3,3,False,True,False,True
45,3738,2,2,2,2,3,4,True,False,True,False
57,3426,1,1,1,1,5,5,True,False,True,False
19,1364,5,4,4,3,4,5,True,False,False,True
17,306,3,4,3,5,5,3,False,True,True,False
11,972,1,1,1,3,1,1,False,True,False,True
21,550,5,0,5,4,4,0,False,True,False,True
38,189,3,2,2,2,2,4,False,True,True,False
46,1661,4,4,3,4,3,5,True,False,True,False
47,2418,1,1,1,1,4,5,False,True,True,False
17,992,4,4,4,3,3,4,True,False,True,False
26,1235,2,5,2,2,1,2,False,True,True,False
44,345,3,2,3,2,3,3,False,True,True,False
17,1076,4,4,5,3,2,5,True,False,True,False
7,912,2,4,2,3,4,2,True,False,True,False
39,197,2,5,2,1,4,2,False,True,True,False
32,337,1,2,1,3,3,1,False,True,True,False
34,2692,3,3,2,3,4,4,False,True,True,False
21,1129,1,1,1,3,3,1,True,False,False,True
67,663,2,2,2,4,3,4,True,False,True,False
30,907,3,4,3,4,4,3,False,True,True,False
41,1190,4,1,1,1,3,4,True,False,True,False
25,1289,4,5,4,4,4,4,True,False,False,True
69,588,3,3,3,4,5,3,True,False,True,False
24,787,1,1,1,4,2,1,False,True,False,True
25,136,2,0,3,1,3,3,False,True,False,True
30,970,4,4,4,4,4,4,True,False,True,False
47,1727,2,2,2,2,4,4,True,False,True,False
17,607,1,4,1,3,4,1,True,False,True,False
39,2513,1,1,1,1,2,4,False,True,True,False
37,239,2,0,3,3,5,3,True,False,False,True
48,462,2,3,3,3,2,2,False,True,True,False
41,1799,5,5,5,5,4,2,True,False,True,False
52,447,4,4,4,4,1,4,False,True,True,False
33,590,2,5,2,5,3,3,True,False,True,False
68,3744,0,4,0,5,1,1,False,True,True,False
42,972,1,1,1,2,4,1,True,False,False,True
18,907,2,1,1,1,2,2,False,True,True,False
29,550,3,2,3,4,2,3,False,True,True,False
48,282,4,4,4,4,1,1,True,False,True,False
16,67,3,5,3,1,5,3,True,False,True,False
42,3332,5,5,5,5,3,5,True,False,True,False
34,931,2,2,2,2,2,2,False,True,False,True
37,236,2,4,2,1,1,2,True,False,True,False
44,190,3,5,5,5,4,3,True,False,True,False
63,358,3,4,3,3,5,3,False,True,True,False
16,331,3,4,5,4,4,5,True,False,True,False
12,1303,3,5,3,1,3,3,False,True,True,False
51,3886,0,0,0,3,5,4,True,False,True,False
41,174,2,5,2,5,4,2,True,False,True,False
40,3393,1,1,1,1,5,5,True,False,True,False
18,2300,5,0,5,4,5,5,False,True,False,True
43,481,3,1,3,2,4,3,False,True,True,False
64,453,1,4,5,5,3,5,False,True,True,False
42,2401,5,5,5,5,3,4,True,False,True,False
60,2302,1,1,1,1,3,5,False,True,True,False
57,1771,1,1,1,1,3,4,True,False,True,False
39,431,3,3,3,3,3,4,False,True,True,False
14,1797,1,4,4,4,1,2,True,False,True,False
29,2611,3,3,3,3,3,3,False,True,False,True
65,511,5,5,5,4,2,5,True,False,True,False
43,842,4,3,4,4,4,4,False,True,True,False
46,888,3,3,3,3,5,4,True,False,True,False
24,3037,3,3,3,3,3,3,False,True,True,False
22,986,3,4,4,3,3,4,True,False,False,True
28,403,2,5,2,4,4,2,False,True,True,False
43,343,5,3,3,3,2,1,True,False,True,False
21,283,4,0,4,1,3,4,True,False,False,True
53,622,2,4,2,3,5,4,True,False,True,False
60,628,4,1,4,2,4,2,True,False,True,False
51,2901,1,5,5,5,4,2,True,False,True,False
58,1754,4,3,4,4,4,3,True,False,True,False
35,1916,2,1,2,2,1,2,False,True,True,False
45,3951,3,5,5,5,5,3,True,False,True,False
65,2446,3,4,3,4,4,2,True,False,True,False
52,680,4,4,4,3,4,4,True,False,True,False
37,399,2,1,1,1,2,3,True,False,True,False
49,2816,1,1,1,1,3,4,True,False,True,False
32,109,4,1,4,1,4,4,False,True,True,False
55,936,3,3,3,3,5,5,False,True,True,False
65,277,2,4,2,4,4,3,True,False,True,False
53,3078,4,4,4,4,4,3,False,True,True,False
23,1452,4,4,4,4,5,4,True,False,False,True
42,1044,5,5,2,5,3,5,False,True,True,False
21,1984,2,2,2,4,3,2,False,True,True,False
41,728,2,2,2,2,5,5,False,True,True,False
51,377,3,1,1,1,2,2,True,False,True,False
46,2360,3,5,5,5,1,3,True,False,True,False
48,241,0,0,0,2,1,3,False,True,True,False
43,423,2,0,2,1,5,4,True,False,True,False
56,425,5,0,5,3,1,3,True,False,True,False
56,260,5,5,5,5,5,5,False,True,True,False
17,373,1,1,1,4,2,1,False,True,True,False
35,1750,3,3,2,3,5,4,False,True,True,False
58,605,5,4,4,4,5,5,False,True,True,False
28,509,5,1,4,1,5,5,False,True,True,False
50,479,2,0,5,2,5,5,False,True,True,False
20,436,4,0,5,3,2,5,False,True,False,True
30,1841,3,3,3,3,5,5,True,False,True,False
22,533,0,4,0,5,3,0,True,False,False,True
42,304,2,2,2,2,2,5,False,True,True,False
18,326,3,1,3,3,2,3,True,False,True,False
29,862,2,2,2,2,5,5,True,False,True,False
40,785,4,4,4,4,2,5,False,True,True,False
55,2475,2,2,2,2,5,4,False,True,True,False
26,304,4,2,4,2,5,4,True,False,False,True
30,1763,3,3,3,3,4,4,True,False,True,False
9,1747,3,3,3,4,1,3,False,True,False,True
37,534,3,4,3,3,2,3,True,False,True,False
55,1744,2,2,4,2,5,4,False,True,True,False
37,373,2,4,2,3,5,2,False,True,False,True
9,432,3,1,3,4,1,3,False,True,True,False
50,533,1,4,3,5,5,3,False,True,True,False
54,2252,5,5,5,5,4,5,False,True,True,False
56,930,4,4,4,4,5,5,False,True,True,False
21,689,3,3,3,3,5,3,True,False,False,True
31,3004,2,2,2,2,4,5,False,True,True,False
59,692,4,4,4,4,3,5,True,False,True,False
70,296,2,5,2,1,5,5,True,False,True,False
18,1189,3,1,1,1,3,3,False,True,True,False
40,3629,0,4,0,2,5,4,False,True,True,False
47,488,4,0,4,3,5,4,True,False,True,False
29,1400,3,3,3,3,3,3,False,True,True,False
29,696,2,4,2,2,4,2,True,False,True,False
29,717,3,5,3,2,4,3,False,True,True,False
33,337,3,4,3,4,5,3,True,False,True,False
52,817,4,0,4,4,2,2,True,False,True,False
68,227,2,4,0,4,5,0,False,True,True,False
69,543,2,3,2,5,4,2,False,True,True,False
50,589,3,4,3,3,5,3,False,True,True,False
67,1979,1,3,1,1,2,5,False,True,True,False
20,212,5,5,5,5,5,5,True,False,True,False
25,678,3,4,3,3,1,3,False,True,False,True
38,466,3,4,3,1,1,3,False,True,True,False
51,311,4,4,4,4,3,3,False,True,True,False
34,645,2,5,2,3,3,2,True,False,True,False
39,630,1,2,1,4,3,1,False,True,True,False
51,363,1,4,1,2,4,4,True,False,True,False
48,308,3,3,3,3,1,3,False,True,True,False
33,1262,3,3,2,3,4,4,True,False,True,False
44,2569,4,4,4,4,2,4,False,True,True,False
37,2704,5,4,4,4,5,5,False,True,True,False
67,1097,1,4,1,4,5,1,False,True,True,False
53,3739,4,4,4,4,2,4,True,False,True,False
10,125,2,5,2,1,5,2,False,True,True,False
32,157,3,4,3,4,4,3,True,False,False,True
36,1481,3,3,3,3,5,4,True,False,True,False
41,552,1,1,1,1,4,5,False,True,True,False
24,488,4,3,4,4,2,4,True,False,False,True
32,782,4,2,2,2,4,4,True,False,True,False
46,1085,3,4,3,3,2,3,False,True,True,False
34,994,5,4,5,4,3,5,False,True,True,False
25,1892,2,2,2,2,2,2,False,True,True,False
23,2583,3,3,3,2,3,1,True,False,True,False
30,986,4,5,4,1,4,4,False,True,True,False
31,162,4,3,3,3,4,4,False,True,True,False
33,399,3,3,3,3,1,2,False,True,True,False
45,419,4,4,4,4,3,5,True,False,True,False
30,650,3,4,3,3,3,3,False,True,True,False
56,588,2,2,2,2,4,4,False,True,True,False
20,204,4,0,4,3,4,4,False,True,False,True
34,488,2,0,2,2,5,2,True,False,False,True
43,867,2,2,2,2,4,5,False,True,True,False
45,669,5,1,1,1,5,5,False,True,True,False
23,574,5,3,3,3,5,5,True,False,True,False
43,376,5,5,5,1,4,5,True,False,True,False
39,419,3,4,4,4,3,3,True,False,True,False
57,1126,0,2,0,3,5,4,False,True,True,False
11,883,1,3,1,1,3,1,False,True,True,False
17,2399,3,4,3,4,1,3,False,True,True,False
45,1583,4,2,2,2,4,3,True,False,True,False
28,1222,2,2,2,2,3,2,True,False,False,True
38,1710,2,2,5,2,3,4,False,True,True,False
35,332,4,4,4,4,1,5,True,False,True,False
41,780,1,1,1,1,1,4,False,True,True,False
60,669,3,3,3,3,5,4,False,True,True,False
43,3307,4,4,4,4,5,5,True,False,True,False
44,646,2,4,2,2,4,5,True,False,True,False
24,393,4,4,4,4,4,4,True,False,True,False
32,376,0,0,0,1,1,0,True,False,True,False
31,1953,4,4,4,4,4,4,False,True,True,False
36,1048,1,1,1,3,4,1,False,True,False,True
20,189,2,3,2,3,2,2,False,True,True,False
42,238,2,2,2,2,3,4,False,True,True,False
34,541,3,3,3,1,3,3,True,False,False,True
57,599,3,3,3,3,4,3,False,True,True,False
12,1751,2,5,2,3,2,2,False,True,True,False
36,102,4,1,1,1,4,4,False,True,True,False
28,1557,2,4,2,2,2,2,True,False,True,False
21,1303,3,3,3,3,5,3,False,True,False,True
36,204,3,2,3,4,4,3,False,True,False,True
29,1013,3,3,3,3,1,3,False,True,False,True
50,1754,1,1,5,1,4,5,True,False,True,False
64,371,4,3,4,4,4,4,True,False,True,False
54,1979,5,5,5,5,4,3,True,False,True,False
42,611,4,4,4,4,4,4,True,False,True,False
38,992,4,4,4,2,4,4,False,True,False,True
35,571,4,5,4,4,4,4,True,False,True,False
17,201,1,5,0,3,5,0,True,False,True,False
49,1985,0,4,0,4,3,5,False,True,True,False
49,295,2,2,2,3,2,2,True,False,False,True
44,2539,1,1,1,1,3,3,False,True,True,False
48,2812,1,4,4,4,5,4,True,False,True,False
27,589,1,3,1,2,5,1,False,True,False,True
46,319,0,0,0,1,4,5,True,False,True,False
21,1164,2,4,2,2,5,2,False,True,True,False
34,1096,3,2,3,3,2,3,False,True,True,False
39,759,5,5,5,5,2,4,True,False,True,False
33,3413,2,2,2,2,1,4,True,False,True,False
38,2454,5,5,5,5,4,4,True,False,True,False
44,3586,0,4,0,3,2,4,True,False,True,False
39,589,3,4,4,4,3,3,True,False,True,False
33,1121,0,4,0,2,4,0,False,True,True,False
45,3059,2,2,2,2,4,4,True,False,True,False
62,2107,3,1,3,3,2,4,False,True,True,False
30,3684,3,3,3,3,4,4,False,True,True,False
40,134,3,3,3,3,3,5,True,False,True,False
55,226,0,0,0,3,4,4,False,True,True,False
59,733,1,5,1,3,3,3,True,False,True,False
53,1174,2,5,5,5,5,3,True,False,True,False
66,1677,1,1,1,1,5,4,True,False,True,False
24,270,3,4,4,4,3,3,False,True,True,False
35,1020,2,3,3,1,2,3,False,True,False,True
19,1182,3,3,3,3,2,3,True,False,False,True
46,224,5,4,4,4,4,5,False,True,True,False
39,606,3,5,3,3,5,3,True,False,True,False
44,2995,4,4,4,4,2,4,True,False,True,False
54,1145,5,5,5,5,2,5,True,False,True,False
20,2077,4,4,4,4,1,4,False,True,True,False
41,156,5,1,1,1,5,5,True,False,True,False
46,2589,3,3,3,3,3,4,False,True,True,False
40,2329,5,5,5,5,4,4,False,True,True,False
68,872,2,4,2,3,4,3,True,False,True,False
24,566,4,1,4,2,5,4,False,True,False,True
30,1768,1,1,1,1,5,5,True,False,True,False
42,2677,5,5,5,5,2,5,True,False,True,False
66,3852,3,3,3,3,3,3,False,True,True,False
57,3463,1,1,1,1,2,4,False,True,True,False
48,3948,5,5,5,5,2,4,False,True,True,False
24,1541,2,3,3,3,2,2,True,False,True,False
23,1717,3,3,5,3,3,3,True,False,True,False
25,850,4,1,2,1,4,4,True,False,True,False
47,1368,5,5,2,5,5,5,False,True,True,False
27,460,2,2,2,2,1,2,False,True,False,True
41,101,3,3,3,3,1,3,False,True,True,False
57,1699,5,5,5,5,4,4,True,False,True,False
24,235,3,4,3,3,5,3,False,True,False,True
48,448,1,4,2,1,3,5,True,False,True,False
46,3726,2,4,2,2,3,5,False,True,True,False
39,790,4,4,4,3,2,4,False,True,False,True
44,645,3,3,3,3,2,3,True,False,False,True
41,1464,3,3,3,3,3,4,True,False,True,False
25,1262,2,0,2,2,4,2,True,False,False,True
51,425,4,1,1,1,5,3,True,False,True,False
56,236,3,3,3,3,3,3,False,True,True,False
41,802,2,2,1,2,3,4,False,True,True,False
70,395,3,2,3,4,5,4,True,False,True,False
44,2149,3,3,4,3,4,5,True,False,True,False
46,3346,2,2,2,2,3,5,True,False,True,False
28,1194,3,1,3,1,5,3,True,False,True,False
53,2077,4,4,4,4,4,4,True,False,True,False
41,642,3,3,3,2,3,3,True,False,False,True
35,1847,4,5,5,5,2,4,False,True,True,False
22,507,0,5,0,2,3,0,True,False,False,True
51,319,3,4,3,5,3,3,True,False,True,False
25,925,5,0,5,4,2,5,False,True,False,True
22,261,4,2,4,4,2,4,True,False,False,True
29,2694,3,5,5,5,3,4,True,False,True,False
30,236,5,2,3,3,5,5,True,False,True,False
61,258,2,5,5,5,3,4,True,False,True,False
22,503,4,3,4,2,5,4,True,False,False,True
30,293,3,4,3,4,3,3,False,True,True,False
36,253,2,3,2,3,2,2,False,True,False,True
24,592,2,0,2,2,5,2,True,False,False,True
59,787,4,4,4,3,5,5,True,False,True,False
46,438,2,4,4,4,2,2,False,True,True,False
64,853,2,4,2,1,3,4,True,False,True,False
52,3645,0,4,0,4,5,5,True,False,True,False
23,108,2,5,1,2,2,1,True,False,False,True
35,2947,1,1,1,1,5,4,True,False,True,False
69,860,2,4,2,4,5,5,True,False,True,False
13,192,3,5,0,3,4,0,True,False,True,False
68,319,3,2,3,4,5,3,True,False,True,False
48,365,3,4,3,5,3,5,True,False,True,False
62,369,3,4,3,2,4,3,True,False,True,False
42,181,0,4,1,1,4,5,True,False,True,False
50,2475,2,4,2,3,2,4,True,False,True,False
16,1119,2,4,2,4,5,2,True,False,True,False
30,228,2,4,2,3,3,2,False,True,True,False
24,406,5,1,1,1,5,5,True,False,True,False
9,936,3,4,4,4,3,4,True,False,True,False
50,382,3,4,3,1,3,5,True,False,True,False
36,761,3,4,3,4,5,3,True,False,True,False
53,3455,1,1,1,1,4,4,True,False,True,False
23,1589,2,5,2,2,5,5,True,False,True,False
24,500,1,5,1,1,3,4,True,False,True,False
50,130,3,3,3,3,3,5,True,False,True,False
30,480,3,3,3,3,2,3,True,False,False,True
34,1947,3,5,3,2,1,3,False,True,True,False
35,1452,4,5,2,5,4,4,False,True,True,False
33,370,2,2,2,4,3,2,False,True,False,True
40,1027,4,4,4,4,4,4,False,True,True,False
39,3121,1,1,1,1,2,4,False,True,True,False
40,3655,4,4,4,4,4,4,False,True,True,False
18,3769,2,4,4,4,2,2,False,True,True,False
19,67,2,4,2,3,1,2,True,False,True,False
26,1372,1,1,1,4,2,1,False,True,False,True
51,1562,2,2,1,2,5,4,False,True,True,False
65,562,3,5,3,4,5,3,False,True,True,False
23,907,4,4,4,3,3,4,True,False,False,True
64,377,5,5,5,3,2,5,False,True,False,True
22,489,2,3,2,3,4,2,False,True,False,True
8,1014,3,2,3,4,1,3,True,False,False,True
49,1024,2,2,2,2,4,2,True,False,True,False
49,300,2,5,5,3,1,3,True,False,True,False
55,1055,3,2,2,2,1,3,True,False,True,False
39,2588,1,5,5,5,1,1,True,False,True,False
61,300,3,1,3,2,2,2,True,False,True,False
25,349,3,5,1,5,3,1,True,False,True,False
24,930,4,1,4,4,2,4,False,True,True,False
22,495,4,0,4,2,5,4,False,True,False,True
62,151,3,1,1,1,4,3,True,False,True,False
33,2475,2,2,2,4,2,5,False,True,True,False
43,843,3,5,3,1,1,3,False,True,True,False
40,326,0,0,0,5,4,4,True,False,True,False
22,303,2,4,2,3,1,2,False,True,False,True
39,3273,3,3,3,3,4,5,True,False,True,False
52,2399,4,4,4,4,5,5,True,False,True,False
44,949,4,2,2,2,4,4,False,True,True,False
26,453,2,0,2,1,2,2,True,False,False,True
36,642,1,0,1,3,5,1,True,False,False,True
57,453,2,1,1,1,2,2,False,True,True,False
34,390,3,3,3,3,4,3,True,False,False,True
9,2425,2,5,2,1,2,2,False,True,True,False
46,2589,3,3,3,3,4,5,False,True,True,False
14,803,3,2,2,3,2,4,False,True,False,True
30,2894,3,3,3,3,3,3,False,True,True,False
26,584,1,1,1,1,5,5,False,True,True,False
53,817,5,2,2,2,5,5,False,True,True,False
34,695,5,5,5,5,2,5,True,False,True,False
37,912,3,2,2,2,3,3,False,True,True,False
22,248,1,5,1,4,5,1,False,True,True,False
37,293,2,2,2,5,3,2,False,True,False,True
46,1299,5,5,4,5,4,5,True,False,True,False
22,1416,2,1,1,1,2,2,True,False,False,True
21,328,3,4,3,4,5,3,True,False,False,True
67,2042,1,2,2,2,3,2,True,False,True,False
12,158,0,5,0,3,2,0,True,False,True,False
18,349,0,4,0,3,2,0,True,False,False,True
13,1027,3,4,3,5,4,3,False,True,True,False
40,1011,3,3,3,3,3,3,True,False,True,False
67,405,2,2,2,2,3,2,True,False,True,False
12,507,2,2,2,3,1,2,False,True,True,False
66,1535,3,5,3,1,2,4,True,False,True,False
53,1825,1,5,5,5,3,3,True,False,True,False
48,737,1,5,1,3,3,1,False,True,True,False
38,373,3,4,3,1,5,3,True,False,True,False
51,588,4,3,3,3,2,4,True,False,True,False
62,600,1,1,1,4,1,1,True,False,False,True
48,1448,2,1,1,1,2,2,False,True,True,False
48,909,2,2,2,2,4,5,True,False,True,False
17,957,3,5,5,5,3,3,True,False,True,False
55,3678,4,5,5,5,2,2,True,False,True,False
40,1697,2,2,2,2,5,5,False,True,True,False
60,175,3,2,2,2,2,4,True,False,True,False
37,550,2,4,2,4,5,2,False,True,True,False
45,2586,2,5,2,5,2,4,True,False,True,False
50,3020,3,5,5,5,5,1,False,True,True,False
23,268,4,4,4,2,3,4,False,True,True,False
60,507,3,4,3,4,2,3,False,True,True,False
60,358,1,5,1,2,4,4,False,True,True,False
54,408,2,2,2,2,2,4,False,True,True,False
25,3380,3,4,4,4,3,3,True,False,True,False
49,3919,1,1,1,1,5,5,True,False,True,False
15,925,2,2,2,3,2,2,False,True,False,True
21,657,2,2,2,2,5,5,True,False,True,False
30,937,5,5,5,2,5,5,True,False,False,True
17,252,3,3,0,1,3,0,True,False,True,False
21,674,3,2,2,1,1,2,True,False,False,True
61,1235,2,5,2,4,3,2,False,True,True,False
23,1444,5,0,5,1,4,0,False,True,False,True
16,1847,1,1,1,1,5,5,True,False,True,False
53,258,3,4,3,3,3,3,False,True,True,False
41,3050,2,5,2,2,3,5,True,False,True,False
22,1162,0,0,0,2,5,0,False,True,False,True
31,1846,1,1,1,1,4,5,True,False,True,False
60,295,2,3,2,2,3,2,False,True,True,False
44,929,1,1,1,1,2,4,False,True,True,False
51,455,1,5,5,5,1,4,False,True,True,False
9,468,1,4,1,3,5,1,True,False,True,False
41,277,1,1,1,1,3,5,False,True,True,False
70,577,2,4,2,4,4,2,False,True,True,False
60,1745,4,4,4,4,5,5,False,True,True,False
47,464,3,5,5,2,4,5,False,True,True,False
49,629,5,3,2,3,1,4,True,False,True,False
50,583,5,5,5,5,4,4,True,False,True,False
49,594,2,3,2,3,3,4,True,False,True,False
27,531,2,5,5,1,2,5,True,False,True,False
69,349,3,1,3,3,3,4,True,False,True,False
32,920,4,4,4,4,2,2,False,True,True,False
69,2206,1,1,1,1,4,3,False,True,True,False
65,1390,2,2,3,2,5,3,False,True,True,False
38,196,2,3,1,3,2,1,False,True,False,True
37,1778,5,5,5,5,4,4,True,False,True,False
29,2966,5,5,3,5,5,5,True,False,True,False
63,712,1,4,1,3,5,4,True,False,True,False
29,600,2,1,1,1,4,1,True,False,False,True
58,828,4,2,2,2,4,4,False,True,True,False
35,781,3,3,3,3,4,3,False,True,False,True
